Filename,English,Kashaya,Categories
acorn-leach-caus-int-cop-i,I'm going to leach the acorns,biʔdu sísʼahqati ʔe· ʔa,statement
acorn-leach-caus-vis-i,I (just) leached the acorns,biʔdu sísʼahqaye· ʔa,statement
again-come-imp,come back!,pʰala wá·du,command
all-cop-q-this,is this all of it?,ṭʼi· ʔe hni maʔu ˇ,question
already-i-acorn-leach-caus-vis,I already leached the acorns,ʔúl ʔa biʔdu sisʼahqay,statement
always-cop-you-thus-act-dur,you're always acting (behaving) that way,kumíʔdacʼ e· ma men cʼóyʔcʼedu·cedu,statement
and-how-are-you,and how are you?,ma ṭ’o heʔén ʔiwa,greeting
apple-sit-pl-fact-that,"the apples are sitting (there, on a table)",ya·pálka bamawe· mu,statement
are-you-hungry,are (you) hungry?,maʔá ʔdawa·de· ˇ,"hunger, thirst"
are-you-hungry-2,are you hungry?,maʔá ʔdawa·de· mito ˇ,"hunger, thirst"
arise-pl-imp-pl,everyone stand up!,tubíhcimeʔ,command
arm-det-my-very-shake-freq,my arm is shaking a lot,ʔiša· ʔem to ʔaná· šohkošohkow,statement
arm-lift-imp,lift up an arm!,ʔiša· dobí·ci,command
arm-lift-pl-imp,lift up your arms!,ʔiša· dóhtibi·ci,command
back-forth-go-here-there,walk back and forth,qowálhqʰaʔ wanʔwadu,phrase
back-on-i-carry-back-refl-vis,I carried it on my back,bacʼo· tól ʔa pʰeyíyʔ,statement; carrying
be-quiet-imp,be quiet! shut up!,šuhkémma,speaking; command; speaking
be-quiet-imp-pl,be quiet! shut up! (to several),šuhkémmameʔ,speaking; command; speaking
beat-up-imp,beat (him) up!,pʰakʼu·ma,command
beat-up-refl-neg-imp,don't hurt yourself!,pʰakʼumcíʔtʰuʔ,command
big-cloth,big cloth,kʼaṭa báhṭʰe,phrase
big-swing,big swing,banaʔ báhṭʰe,phrase
big-woodpecker,big woodpecker,kʼaṭáʔ bahṭʰe,phrase
bird-tree-in-sit-pl,the birds are sitting in the tree,sʼihta qʰale wí bamaw,statement
box-in-full-caus-imp,fill up the box!,kahó·n li cuṭʼahqá,command
box-in-full-caus-int-prf-i,I'm going to fill the box,kahó·n li cuṭʼahqatí ʔdela· ʔa,statement
boy-det-always-dog-neck-strangle-dur,the boy is always strangling the dog's neck,naṭa híʔbaya ʔem kumíʔdaʔ hayu ʔel mihya dóʔqʼota·madu,statement
boy-det-always-dog-strangle-dur,the boy is always strangling the dog,naṭa híʔbaya ʔem kumíʔdaʔ hayu doʔqʼotá·madu,statement
bread-burn,burnt bread,cuhni· múhkʰuyʔ,phrase
bread-half-me-give-imp,give me half the bread!,cuhni· hiqʰáʔ to dihqa,command
bread-me-half-give-imp,give me half the bread! (other order),cuhni· to hiqʰáʔ dihqa,command
bread-my-slice-imp,slice my bread!,cuhni· kʰe cáqʰa,command
butter-spread,spread butter,mantekí·ya cʰitʼelʔ,phrase
cant-do-anything,"you can't do anything about it, that's how it is","heʔén ma baqʼo ci·cʼínʔkʰe tʰin e· mu, men é· mu",statement
car-broken,the car broke down,ma·kina hisʼáw,statement
car-det-fast-run-along-fact,the car is coming quickly,má·kina ʔem šahya mó·nʔ,statement
car-det-run-along-fact,the car is coming,má·kina ʔem mó·nʔ,statement
car-det-very-fast-run-along-plagt-dist-caus,they're driving the car around too fast,ma·kina ʔel ʔaná· šahya mocʼwacʼqaw,statement
car-in-gas-pour-down-caus-imp,put gas in the car!,ma·kina wi ʔihpʰú· ṭʼaya·lahqa,command
