Filename,English,Kashaya,Categories,
and-how-are-you,and how are you?,ma ṭ’o heʔén ʔiwa,greeting,
are-you-hungry,are you hungry?,maʔá ʔdawa·de· ˇ,"hunger, thirst",
are-you-hungry-2,are you hungry? (2),maʔá ʔdawa·de· mito ˇ,"hunger, thirst",
be-careful,"be careful, watch yourself!",qʼoʔdi máce·cʼi,command,
be-quiet,be quiet! shut up!,šuhkémma,speaking; command; speaking,
be-quiet-pl,be quiet! shut up! (to several),šuhkémmameʔ,speaking; command; speaking,
car-broken,the car broke down,ma·kina hisʼáw,statement,
chop-tree,chopped down a tree,qʰale píqʰaw,phrase,
chop-trees,chopped down trees,qʰale píqʰamʔ,phrase,
close-imp,"close it! (door); turn it off! (faucet, machine)",šuʔpʼaní,command,
comb-ones-hair,to comb one's hair,heʔe cúqʼa·ṭiʔ,phrase,
come,come!,wa·dú,coming and going; command,
come-after-me,come after me!,to· qʰamá· wa·du,following; command,
come-after-me-pl,come after me! (to several),to· qʰamá· pʰilac’meʔ,following; command,
come-and-eat,come and eat!,wa·dú maʔa búmuci·du,eating; command,
come-and-eat-some-food,come and eat some food!,wa·dú - maʔa búmuyic’meʔ,eating; command,
come-and-eat-some-food-pl,come and eat some food! (to several),pʰilac’méʔ - maʔa búmuyic’meʔ,eating; command,
come-here,come here!,be·li wá·du,coming and going; command,
come-here-and-eat,come here and eat!,be·li wá·du bumucí·du,eating; command,
come-here-pl,come here! (to several),be·li pʰílacʼmeʔ,coming and going; command,
come-in,come in!,ma·qó,going in and out; command,
come-in-here,come in here!,be·li má·qo,going in and out; command,
come-in-here-pl,come in here! (to several),be·li pʰímahmeʔ,coming and going; command,
come-in-house,come inside the house!,ʔahcá· ma·qo,going in and out; command,
come-in-pl,come in! (to several),pʰimáhmeʔ,going in and out; command,
come-pl,come! (to several),pʰilac’méʔ,coming and going; command,
come-with-me,come with me!,to· cóhto wa·du,following; command,
come-with-me-pl,come with me! (to several),to· cóhto pʰilac’meʔ,following; command,
cook-it,cook it!,muʔtʼáhqa,command,
cook-it-please,"cook it, please!",dutʼatá·du qayʔ,command,
cook-meat,cook the meat!,bihše múʔtʼahqa,command,
crawl-in-out,crawl in and out,cimaci·dun ciwoqó·cʼedu,phrase,
dance,to dance,qʼoʔo mánew,verb,
dance-2,to dance (2),manéw,verb,
dance-imp,dance!,qʼoʔo máne,command,
dance-pl,dance! (to several),qʼoʔo mánemeʔ,command,
do-thus,"he/she did so, did it",men ʔsʼiw,statement,
dont-dance,don't dance!,qʼoʔo manetʰúʔ,command,
dont-do-that,don't do that! don't do it!,men ʔsʼitʰuʔ,command,
eat,eat!,bumucí·du,eating; command,
eat-2,eat! (2),maʔá,eating; command,
eat-food-pl,eat food (several),maʔa búmuyiʔ,eating,
eat-pl,eat! (to several),bumuyíc’meʔ,eating; command,
eat-some-food,eat some food!,maʔa búmuci·du,eating; command,
eat-some-food-pl,eat some food! (to several),maʔa búmuyic’meʔ,eating; command,
eat2,eat! (2),maʔá,eating; command,
everyone-say-it-again,everyone say it again!,ṭ’ihca pʰala míyic’meʔ,teaching; command; speaking,
feed-him,feed (him or her)!,maʔa bílaqʰa·ma,eating; command,
from-outside,from outside,ʔuhwa· tów,location,
go-away-pl-already,"they've already gone away, left",ʔúl pʰilaʔ,statement,
go-away-pl-hsy,"they've gone away, left (they say)",pʰiláʔdo,statement,
go-away-pl-vis,"they've gone away, left (I saw it)",pʰilayh,statement,
go-away-pl-vis-already,"they've already gone away, left (I saw it)",ʔúl pʰilayh,statement,
go-down-imp,go down!,walá,command,
go-down-pl-imp,go down! (to several),pʰilala·méʔ,command,
go-far-pl-vis-already,they've already gone far away (I saw it),ʔúl pʰila·cʼi·y,statement,
go-in,go in!,mací,going in and out; command,
go-in-out,go in and out,maci·dun woqó·cʼedu,phrase,
go-in-pl,go in! (to several),pʰimácʰmeʔ,going in and out; command,
go-in-there-imp,go in there!,mi· mací,going in and out; command,
go-in-there-pl-imp,go in there! (to several),mi· pʰimác’meʔ,going in and out; command,
go-outside,go outside!,ʔuhwa· waqá,going in and out; command,
good,"good, and you?","q’oʔdi, ma ṭ’o",greeting; question,
he-almost-died,he almost died,cʰoyíʔti ʔduwe· mu,statement,
he-can-run-faster-than-she,he can run faster than she can,ma·dal ʔana· šahya mó·duʔbe· mu·kinʔ,statement,
he-saw-her-past,he saw her,cadú ʔyowe· ma·dal mu·kinʔ,statement,
he-saw-her-past-2,he saw her (2),mu·kinʔ ma·dal cadú ʔyow,statement,
he-saw-him-past,he saw him,cadú ʔyowe· mu·kinʔ mu·kito,statement,
he-saw-him-past-2,he saw him (2),mu·kito mu·kinʔ cadú ʔyow,statement,
he-saw-him-past-3,he saw him (3),mu·kinʔ cadú ʔyowe· mu·kito,statement,
he-saw-him-past-4,he saw him (4),cadú ʔyowe· mu·kito mu·kinʔ,statement,
he-saw-me-past,he saw me,cadú ʔyowe· to mu·kinʔ,statement,
he-saw-them-past,he saw them,cadú ʔyowe· ma·cal mu·kinʔ,statement,
he-saw-them-past-2,he saw them (2),mu·kinʔ cadú ʔyowe· ma·cal,statement,
he-saw-yall-past,he saw you (plural),cadú ʔyowe· mayal mu·kinʔ,statement,
he-saw-yall-past-2,he saw you (plural) (2),mu·kinʔ mayal cadú ʔyow,statement,
he-saw-you-past,he saw you,cadú ʔyowe· mito mu·kinʔ,statement,
he-saw-you-past-2,he saw you (2),mito mu·kinʔ cadú ʔyow,statement,
hear-imp,listen!,šocí,command,
hear-not-i,I can't hear,šo·tʰé· ʔa,statement,
hear-not-i-you,I can't hear you,šo·tʰé· ʔa mito,statement,
hear-pl-imp,listen! (to several),šocʰméʔ,command,
hes-really-tall,he's really tall,ʔanáhmi ʔahqol e· mu·kinʔ,statement,
hes-running-faster-than-she,he's running faster than she is,ma·dál ʔana· šahya mo·de· mu·kinʔ,statement,
hes-taller-than-i,he's taller than I am,to· ʔaná· ʔahqol e· mu·kinʔ,statement,
hes-taller-than-she,he's taller than she is,ma·dál ʔana· ʔahqol e· mu·kinʔ,statement,
hes-taller-than-we,he's taller than we are,yal ʔaná· ʔahqol e· mu·kinʔ,statement,
hes-tallest,he the tallest (of all),ṭʼi ʔána· ʔahqol e· mu·kinʔ,statement,
hes-too-tall,he's too tall; he's very tall,ʔaná· ʔahqol e· mu·kinʔ,statement,
house-fell,the house fell down,ʔahcá hcʰaw,statement,
house-loc-from,from inside the house,ʔahcá· tow,location,
how-are-you,how are you?,heʔén ma ʔiwa ˇ,greeting; question,
how-are-you-pl,how are you? (to several),heʔén maya ʔiwaˇ,greeting; question,
how-tall-is-he,how tall is he?,heʔén ʔahqol iwa mu·kinʔ ˇ,question,
how-would-you-say-it-in-indian,how would you say it in Indian?,heʔén ṭa ma mice·duʔba ʔacaʔ ta·wi,teaching; speaking; question,
i-feel-good,I feel good,q’oʔdi t’á·de· to,feeling,
i-guess-its-like-that,I guess it's like that,men ínsʼem ʔṭʼo,statement,
i-have-understood,I have understood,baʔyahyé· ʔa,understanding,
i-saw-dog-past,I saw the dog,cadú ʔyowe· ʔa mul hayu,statement,
i-saw-dog-past-2,I saw the dog (2),hayu ʔa mul cadú ʔyow,statement,
i-saw-dog-past-3,I saw the dog (3),hayu mul ʔa cadú ʔyow,statement,
i-saw-dog-past-4,I saw the dog (4),cadú ʔyowe· mul ʔa hayu,statement,
i-saw-her-past,I saw her,cadú ʔyowe· ʔa ma·dal,statement,
