Filename,English,Kashaya,Categories
abalone,abalone,duʔk’aš,"animal; fish, sea creature"
abalone-ornament,abalone shell ornament,ṭʰilel,traditional culture
accompany,"to accompany, go with",qʰamaʔ,verb
acorn,acorn,biʔdu,plant; plant part
acorn-black-oak,acorn of black oak,yuhšiy,plant; plant part
acorn-mush,acorn mush,ṭʰoʔo,food; traditional culture
acorn-oregon-oak,acorn of Oregon oak,"wiyi, wiyu",plant; plant part
acorn-valley-oak,acorn of valley oak,sʼapʰa,plant; plant part
afraid,"afraid, scared",cʰiyaʔ,adjective
agitated,agitated,woṭoʔ,adjective
airplane,airplane,qalicátʰmuʔ,vehicle
alder,alder,qahcʰiṭi,plant; tree
alike,alike,kúʔmeʔ,adverb
all,all,ṭʼi·,number
all-not,not all,ṭʼi· tʰin,number
allright,"all right, okay",yow,interjection
always,always,kumíʔdaʔ,adverb; time
animal,animal,šiʔbaši,animal
ankle-ball,ankle ball (bony protrusion),qʰama pʰíʔkʼo,body part
ant,ant,biʔk’as,"animal; insect, spider"
appear,"to appear, arise",cʼoʔ,verb
apple,apple,ya·pálka,food
arm,"arm, wing",ʔiša·,body part; bird
armpit,"armpit, underarm",nahmomo,body part
arrow,arrow,hisʼu·,traditional culture
ashes,"ashes, cinders",ʔonoqoʔ,household
ask,to ask,bahnatá·du,verb; speaking
axe,axe,tupú·lu,tool
back,back,bacʼo·,body part
bad,bad,pišudú,adjective
ball,ball,pʰiʔk’o,household; game
banana,"banana (""monkey food"")",maka·ka máʔa,food
bare,"bare, nude, plain",qahqo,adjective
barnacle,barnacle,qʰac’o·,"animal; fish, sea creature"
basket-baby,baby basket,cuhse,traditional culture; basket
basket-burden,burden basket,buhqʰal,basket; traditional culture
basket-cooking,"cooking basket, basket in general",šeʔeʔ,basket; traditional culture
basket-fancy,fancy basket,cʰiṭu·,basket; traditional culture
basket-mortar,mortar basket,q’olo·,basket; traditional culture
basket-winnowing,winnowing basket,"naqʼolo, naqʼole",basket; traditional culture
basket-work-tray,work tray basket,šamʔ,basket; traditional culture
bay,bay,šóhqʰa,water
be-none,"to be none, absent; not have",cʰow,verb
be-sick,"to be sick, in pain, hurt",duhṭʰalʔ,verb
be-starving,"be hungry, starving",maʔa háʔdaw,food
be-too-noisy,"to be too noisy, make too much noise",baʔtʼílʔ,verb
beach-at-ocean,beach at ocean,qʰaṭʰá·wi,land
beans,beans,yihó·l,food
bear,bear,buṭaqa,animal; mammal
beat-up,"beat up, hurt, kill",pʰakʼumʔ,verb
beautiful,"beautiful, pretty, wonderful",cʼíškan,adjective; appearance
bee,"bee, yellowjacket",coʔo,"animal; insect, spider"
beef,beef,wá·ka bihše,food
begin-fast,"to begin a fast, obey a rule",qalá·law,traditional culture
