Filename,English,Kashaya,Categories
again-come-imp,come back!,pʰala wá·du,command
and-how-are-you,and how are you?,ma ṭ’o heʔén ʔiwa,greeting
apple-sit-pl-fact-that,"the apples are sitting (there, on a table)",ya·pálka bamawe· mu,statement
apple-table-on-sit-pl,the apples are sitting on the table,ya·palka ʔem lamé·sa tol bamaw,statement
are-you-hungry,are you hungry?,maʔá ʔdawa·de· ˇ,"hunger, thirst"
are-you-hungry-2,are you hungry? (2),maʔá ʔdawa·de· mito ˇ,"hunger, thirst"
arise-pl-imp-pl,everyone stand up!,tubíhcimeʔ,command
arm-det-my-very-shake-freq,my arm is shaking a lot,ʔiša· ʔem to ʔaná· šohkošohkow,statement
arm-lift-imp,lift up an arm!,ʔiša· dobí·ci,command
arm-lift-pl-imp,lift up your arms!,ʔiša· dóhtibi·ci,command
back-forth-go-here-there,walk back and forth,qowálhqʰaʔ wanʔwadu,phrase
back-on-i-carry-back-refl-vis,I carried it on my back,bacʼo· tól ʔa pʰeyíyʔ,statement; carrying
be-quiet,be quiet! shut up!,šuhkémma,speaking; command; speaking
be-quiet-pl,be quiet! shut up! (to several),šuhkémmameʔ,speaking; command; speaking
beat-up-imp,beat (him) up!,pʰakʼu·ma,command
beat-up-refl-neg-imp,don't hurt yourself!,pʰakʼumcíʔtʰuʔ,command
big-cloth,big cloth,kʼaṭa báhṭʰe,phrase
big-swing,big swing,banaʔ báhṭʰe,phrase
big-woodpecker,big woodpecker,kʼaṭáʔ bahṭʰe,phrase
bird-tree-in-sit-pl,the birds are sitting in the tree,sʼihta qʰale wí bamaw,statement
bread-half-me-give-imp,give me half the bread!,cuhni· hiqʰáʔ to dihqa,command
bread-me-half-give-imp,give me half the bread! (other order),cuhni· to hiqʰáʔ dihqa,command
bread-my-slice-imp,slice my bread!,cuhni· kʰe cáqʰa,command
butter-spread,spread butter,mantekí·ya cʰitʼelʔ,phrase
cant-do-anything,"you can't do anything about it, that's how it is","heʔén ma baqʼo ci·cʼínʔkʰe tʰin e· mu, men é· mu",statement
car-broken,the car broke down,ma·kina hisʼáw,statement
car-det-fast-run-along-fact,the car is coming quickly,má·kina ʔem šahya mó·nʔ,statement
car-det-run-along-fact,the car is coming,má·kina ʔem mó·nʔ,statement
car-det-very-fast-run-along-plagt-dist-caus,they're driving the car around too fast,ma·kina ʔel ʔaná· šahya mocʼwacʼqaw,statement
car-in-gas-pour-down-caus-imp,put gas in the car!,ma·kina wi ʔihpʰú· ṭʼaya·lahqa,command
carry-back-e-refl-imp,carry it on your back! (alternate form),pʰeyí·cʼi,command
carry-back-refl-imp,carry it on your back!,pʰiyí·cʼi,command
cat-det-run-here-there-fact,the cat is running around,kúška ʔem monʔwánʔ,statement
cat-det-table-on-sit-off-ground,the cat is sitting on the table,kúška ʔem lamé·sa tol cumáw,statement
cat-det-tree-on-climb-here-there,the cat is climbing around in the tree,kúška ʔem qʰale tól tanʔwadu,statement
chop-tree,chopped down a tree,qʰale píqʰaw,phrase
chop-trees,chopped down trees,qʰale píqʰamʔ,phrase
clock-stop-vis,the clock stopped,haʔda muhyé·y,statement
close-imp,"close it! (door); turn it off! (faucet, machine)",šuʔpʼaní,command
cloth-sew,sew clothing,kʼaṭa bítʼelʔ,phrase
cloth-sew-nfv-i,I'm sewing clothing,kʼaṭa bítʼe·le· ʔa,statement
cloth-wash-ss-me-very-tired-vis,I was washing clothes and got really tired,kʼaṭa dáse·ba to ʔaná· tʼunuwiy,statement
clothes-iron,iron clothes,kʼaṭa bóṭʼahqaw,phrase
clothes-stiff,"stiff, starched clothes",kʼaṭa múhqa,phrase
coffee-pour-into-imp,pour some coffee (into the cup)!,kafé· ṭʼa·ma,command
coffee-want-fact-you,do you want coffee?,kafé· da·we· mito ˇ,question
comb-ones-hair,to comb one's hair,heʔe cúqʼa·ṭiʔ,phrase
comb-your-hair-imp,comb your hair!,heʔe cúqʼaṭi·cʼi,command
come,come!,wa·dú,coming and going; command
come-after-me,come after me!,to· qʰamá· wa·du,following; command
come-after-me-pl,come after me! (to several),to· qʰamá· pʰilac’meʔ,following; command
come-and-eat-some-food-pl,come and eat some food! (to several),pʰilac’méʔ - maʔa búmuyic’meʔ,eating; command
come-here-and-eat,come here and eat!,"be·li wá·du, bumucí·du",eating; command
come-imp-food-eat-imp,come and eat!,"wa·dú, maʔa búmuci·du",eating; command
come-in,come in!,ma·qó,going in and out; command
come-in-here,come in here!,be·li má·qo,going in and out; command
come-in-here-pl,come in here! (to several),be·li pʰímahmeʔ,coming and going; command
come-in-house,come inside the house!,ʔahcá· ma·qo,going in and out; command
come-in-pl,come in! (to several),pʰimáhmeʔ,going in and out; command
come-pl,come! (to several),pʰilac’méʔ,coming and going; command
come-with-me,come with me!,to· cóhto wa·du,following; command
come-with-me-pl,come with me! (to several),to· cóhto pʰilac’meʔ,following; command
cook-it,cook it!,muʔtʼáhqa,command
cook-it-please,"cook it, please!",dutʼatá·du qayʔ,command
cook-meat,cook the meat!,bihše múʔtʼahqa,command
crawl-in-out,crawl in and out,cimaci·dun ciwoqó·cʼedu,phrase
dance-imp,dance!,qʼoʔo máne,command
dance-pl,dance! (to several),qʼoʔo mánemeʔ,command
dish-wash-will-not-i,I won't wash the dishes,cá·ška daseʔkʰe tʰín e· ʔa,statement
do-thus,"he/she did so, did it",men ʔsʼiw,statement
dog-bark-alot,the dog is barking a lot,hayu ʔem ʔaná· cahnow,statement
dog-det-always-choke-dur,the dog is always choking ,hayu ʔem kumiʔdaʔ sihkʰitá·du,command
dog-det-child-pl-thing-bother,the dog is bothering the children,hayu ʔém naṭá yya ʔel ʔama dúhqʰawa·du,statement
dog-det-child-pl-thing-bother-hab,the dog is always bothering the children,hayu ʔém naṭá yya ʔel duhqʰawá·duce·du,statement
dog-det-laugh-fact,the dog is laughing,hayu ʔem cʰuwayá·nʔ,statement
dog-det-laugh-like-look-resp,the dog looks like it's laughing,hayu ʔem cʰuwayá·du min pʰiʔtʼawam ˇ,statement
dog-tail-wag,the dog's tail is wagging,hayu hiba· pʰíʔliʔliw,statement
