Filename,English,Kashaya,Categories
abalone,abalone,duʔk’aš,"animal; fish, sea creature"
abalone-ornament,abalone shell ornament,ṭʰilel,traditional culture
abalone-shell,abalone shell,"duʔkʼášqʼaṭa, duʔkʼáškʼaṭa","animal; fish, sea creature"
accompany,"accompany, go with",qʰamaʔ,verb
acorn,acorn,biʔdu,plant; plant part
acorn-black-oak,acorn of black oak,yuhšiy,plant; plant part
acorn-mush,acorn mush,ṭʰoʔo,food; traditional culture
acorn-oregon-oak,acorn of Oregon oak,"wiyi, wiyu",plant; plant part
acorn-valley-oak,acorn of valley oak,sʼapʰa,plant; plant part
act-behave,act or behave a certain way,cʼóyʔcʼedu,verb
act-behave-pl,act or behave a certain way (of several),cʼóyʔcʼiwaʔ,verb
afraid,"afraid, scared",cʰiyaʔ,adjective
again,"again, more",pʰala,adverb
agitated,agitated,woṭoʔ,adjective
airplane,airplane,qalicátʰmuʔ,vehicle
alder,alder,qahcʰiṭi,plant; tree
alike,"same, alike",kúʔmeʔ,adjective
all,all,ṭʼi·,number
all-not,not all,ṭʼi· tʰin,number
allright,"all right, okay, you're welcome",yow,interjection
allright-ready,"all right, get ready, let's go, come on",yohwéy,interjection
always,always,kumíʔdaʔ,adverb; time
and,and,mensʼin,conjunction
angry,"angry, mad",qahmáʔ,adjective
animal,animal,šiʔbaši,animal
ankle-ball,ankle ball (bony protrusion),qʰama pʰíʔkʼo,body part
ant,ant,biʔk’as,"animal; insect, spider"
appear,"appear, arise",cʼoʔ,verb
apple,apple,ya·pálka,food
apron,"apron (""spread in front"")",hó·to· ṭʰeya·yiʔ,household
arm,"arm, wing",ʔiša·,body part; bird
armpit,"armpit, underarm",nahmomo,body part
arrow,arrow,hisʼu·,traditional culture
ashes,"ashes, cinders",ʔonoqoʔ,household
ask,ask,bahnatá·du,verb; speaking
axe,axe,tupú·lu,tool
back,back,bacʼo·,body part
back-forth,"back and forth, in all directions",qowálhqʰaʔ,adverb
bad,bad,pišudú,adjective
ball,ball,pʰiʔk’o,household; game
banana,"banana (""monkey food"")",maka·ka máʔa,food
bank,"bank, bluff, cliff, precipice",ʔamahcʰilí,land
bare,"bare, nude, plain",qahqo,adjective
barnacle,barnacle,qʰac’o·,"animal; fish, sea creature"
basket-baby,baby basket,cuhse,traditional culture; basket
basket-burden,burden basket,buhqʰal,basket; traditional culture
basket-cooking,"cooking basket, basket in general",šeʔeʔ,basket; traditional culture
basket-fancy,fancy basket,cʰiṭu·,basket; traditional culture
basket-mortar,mortar basket,q’olo·,basket; traditional culture
basket-winnowing,winnowing basket,naqʼolo ~ naqʼole,basket; traditional culture
basket-work-tray,work tray basket,šamʔ,basket; traditional culture
bay,bay,šóhqʰa,water
be-none,"be none, absent; not have",cʰow,verb
